image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
frontend,0.1.685,brace-expansion,2.0.1,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
frontend,0.1.685,brace-expansion,2.0.1,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
frontend,0.1.685,brace-expansion,2.0.1,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
frontend,0.1.685,fast-uri,3.0.6,"4.0.1, 3.1.3, 2.4.2",HIGH,CVE-2026-13676
frontend,0.1.685,fast-uri,3.0.6,"2.4.3, 3.1.4, 4.1.1",HIGH,CVE-2026-16221
frontend,0.1.685,fast-uri,3.0.6,"2.4.4, 3.1.5, 4.1.2",HIGH,CVE-2026-18446
frontend,0.1.685,fast-uri,3.0.6,3.1.1,HIGH,CVE-2026-6321
frontend,0.1.685,fast-uri,3.0.6,3.1.2,HIGH,CVE-2026-6322
frontend,0.1.685,glob,10.4.5,"11.1.0, 10.5.0",HIGH,CVE-2025-64756
frontend,0.1.685,ip-address,9.0.5,10.3.1,HIGH,CVE-2026-69192
frontend,0.1.685,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
frontend,0.1.685,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
frontend,0.1.685,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
frontend,0.1.685,next,16.2.10,"15.5.21, 16.2.11",HIGH,CVE-2026-64641;CVE-2026-64643;CVE-2026-64644;CVE-2026-64645;CVE-2026-64646;CVE-2026-64647;CVE-2026-64648;CVE-2026-64649
frontend,0.1.685,next,16.2.10,16.2.11,HIGH,CVE-2026-64642
frontend,0.1.685,postcss,8.4.31,8.5.12,HIGH,CVE-2026-45623
frontend,0.1.685,postcss,8.4.31,8.5.18,HIGH,GHSA-r28c-9q8g-f849
frontend,0.1.685,postcss,8.4.49,8.5.12,HIGH,CVE-2026-45623
frontend,0.1.685,postcss,8.4.49,8.5.18,HIGH,GHSA-r28c-9q8g-f849
frontend,0.1.685,sharp,0.34.5,0.35.0,HIGH,GHSA-f88m-g3jw-g9cj
frontend,0.1.685,sigstore,3.0.0,4.1.1,HIGH,CVE-2026-48815
frontend,0.1.685,tar,6.2.1,7.5.3,HIGH,CVE-2026-23745
frontend,0.1.685,tar,6.2.1,7.5.4,HIGH,CVE-2026-23950
frontend,0.1.685,tar,6.2.1,7.5.7,HIGH,CVE-2026-24842
frontend,0.1.685,tar,6.2.1,7.5.8,HIGH,CVE-2026-26960
frontend,0.1.685,tar,6.2.1,7.5.10,HIGH,CVE-2026-29786
frontend,0.1.685,tar,6.2.1,7.5.11,HIGH,CVE-2026-31802
frontend,0.1.685,tar,6.2.1,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
frontend,0.1.685,tar,7.4.3,7.5.3,HIGH,CVE-2026-23745
frontend,0.1.685,tar,7.4.3,7.5.4,HIGH,CVE-2026-23950
frontend,0.1.685,tar,7.4.3,7.5.7,HIGH,CVE-2026-24842
frontend,0.1.685,tar,7.4.3,7.5.8,HIGH,CVE-2026-26960
frontend,0.1.685,tar,7.4.3,7.5.10,HIGH,CVE-2026-29786
frontend,0.1.685,tar,7.4.3,7.5.11,HIGH,CVE-2026-31802
frontend,0.1.685,tar,7.4.3,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
frontend,0.1.685,undici,7.28.0,"7.29.0, 8.9.0",HIGH,CVE-2026-13697;CVE-2026-14643
scheduler-service,1.0.358,brace-expansion,1.1.11,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
scheduler-service,1.0.358,brace-expansion,1.1.11,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
scheduler-service,1.0.358,brace-expansion,1.1.11,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
scheduler-service,1.0.358,brace-expansion,2.0.1,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
scheduler-service,1.0.358,brace-expansion,2.0.1,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
scheduler-service,1.0.358,brace-expansion,2.0.1,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
